Designator,MPN,Qty,Link
C1,0603B104K500NT,1,http://file.elecfans.com/web1/M00/7D/4D/o4YBAFwKKSOANZPCAA-X9Qix-h8480.pdf
C2,CC0805KKX7R7BB106,1,http://file.elecfans.com/web1/M00/65/A6/o4YBAFutoDWASZLJAA4wbrUogSs161.pdf
D1,B0520WS-7-F,1,https://www.digikey.com/product-detail/en/diodes-incorporated/B0520WS-7-F/B0520WS-FDICT-ND/775881
D2,ORH-YG36A,1,http://file.elecfans.com/web1/M00/87/3D/o4YBAFyCSiSATmSOAAZl20WJkbM116.pdf?filename=1536306275544842763.pdf
R1,AC0603FR-07330RL,1,http://file.elecfans.com/web1/M00/81/15/o4YBAFwusm-AS-NzAA6jWBLJWvI829.pdf?filename=AC-series_Yageo.pdf
R2,RC0603FR-07220RL,1,http://file.elecfans.com/web1/M00/9E/C4/pIYBAF053ayARjz1AAYrMQV5Kx0650.pdf
U2,SP3485CN-L,1,https://www.digikey.com/product-detail/en/maxlinear-inc/SP3485CN-L/1016-1144-5-ND/2411076
"J1, J2",ED500/2DS,2,http://file.elecfans.com/web1/M00/9F/3B/pIYBAF1AhXyAEEsEAAqeTaLwtzM475.pdf
J3,PPPC121LFBN-RC,1,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PPTC121LFBN-RC/S6100-ND/807231
J4,PPPC161LFBN-RC,1,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PPTC161LFBN-RC/S7014-ND/810154
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,